action_taken,derived_race,derived_ethnicity,applicant_sex,applicant_age,income,debt_to_income_ratio,applicant_credit_score_type,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,loan_type,loan_purpose,lien_status,property_value,occupancy_type,tract_minority_population_percent,aus-1,denial_reason-1
1,Black or African American,Not Hispanic or Latino,2,45-54,104.0,37,1,395000.0,96.5,7.125,1.054,2,1,1,405000,1,21.09,3,10
1,White,Not Hispanic or Latino,1,45-54,79.0,50%-60%,2,255000.0,96.5,6.25,0.458,2,1,1,265000,1,63.55,3,10
1,White,Hispanic or Latino,1,35-44,133.0,42,3,455000.0,96.999,6.25,0.007,1,1,1,465000,1,26.05,1,10
1,White,Joint,1,35-44,101.0,47,3,405000.0,82.425,6.375,-0.132,1,1,1,495000,1,20.03,2,10
5,White,Not Hispanic or Latino,2,<25,101.0,,9,275000.0,,,,1,1,1,,1,25.14,6,10
1,White,Joint,1,25-34,95.0,50%-60%,1,305000.0,80.0,6.75,0.43,2,1,1,385000,1,30.71,3,10
1,White,Not Hispanic or Latino,2,25-34,179.0,38,11,475000.0,85.909,6.75,-0.989,1,1,1,555000,1,39.18,6,10
5,White,Ethnicity Not Available,2,55-64,33.0,,9,35000.0,,,,1,1,1,,1,21.09,6,10
1,White,Ethnicity Not Available,2,25-34,90.0,20%-<30%,2,115000.0,79.72,7.5,1.08,1,1,1,145000,1,28.27,6,10
1,Asian,Not Hispanic or Latino,2,35-44,,,3,195000.0,55.0,6.5,0.541,1,1,1,355000,3,24.38,6,10
2,White,Not Hispanic or Latino,1,65-74,325.0,30%-<36%,1,645000.0,80.0,6.875,0.046,1,1,1,,1,47.96,2,10
3,White,Not Hispanic or Latino,2,35-44,220.0,50%-60%,9,525000.0,80.0,,,1,1,1,,1,47.96,6,1
1,Black or African American,Not Hispanic or Latino,1,35-44,160.0,46,1,535000.0,80.0,6.625,0.93,1,1,1,665000,1,47.96,2,10
1,Asian,Not Hispanic or Latino,2,>74,174.0,41,1,205000.0,22.824,7.375,0.376,1,1,1,875000,1,47.96,2,10
1,White,Not Hispanic or Latino,1,35-44,142.0,46,9,485000.0,70.0,4.99,-1.199,1,1,1,695000,1,47.96,2,10
2,Black or African American,Not Hispanic or Latino,2,45-54,120.0,>60%,1,485000.0,64.963,7.25,0.304,1,1,1,,1,47.96,2,10
3,White,Not Hispanic or Latino,1,65-74,58.0,>60%,9,605000.0,70.588,,,1,1,1,,1,47.96,6,1
2,White,Not Hispanic or Latino,1,55-64,128.0,20%-<30%,9,95000.0,13.991,5.25,0.049,1,1,1,645000,1,47.96,2,10
1,White,Not Hispanic or Latino,1,65-74,272.0,44,9,505000.0,55.495,6.875,0.556,1,1,1,905000,1,47.96,2,10
4,Asian,Not Hispanic or Latino,1,55-64,337.0,,9,515000.0,,,,1,1,1,,1,47.96,6,10
1,White,Not Hispanic or Latino,1,55-64,110.0,30%-<36%,2,95000.0,13.991,5.25,-0.05,1,1,1,645000,1,47.96,2,10
1,White,Not Hispanic or Latino,1,25-34,466.0,20%-<30%,1,525000.0,80.0,6.625,0.294,1,1,1,655000,1,47.96,2,10
3,Black or African American,Hispanic or Latino,1,25-34,33.0,>60%,9,425000.0,80.0,,,1,1,1,,1,47.96,1,1
1,White,Not Hispanic or Latino,1,>74,161.0,46,1,485000.0,80.0,5.99,-0.099,1,1,1,605000,1,47.96,2,10
1,Black or African American,Not Hispanic or Latino,2,55-64,248.0,30%-<36%,9,585000.0,80.0,7.5,0.901,1,1,1,735000,1,47.96,2,10
1,Asian,Not Hispanic or Latino,2,55-64,295.0,45,3,565000.0,73.906,6.625,0.315,1,1,1,765000,1,47.96,2,10
1,White,Not Hispanic or Latino,2,35-44,420.0,30%-<36%,9,545000.0,80.0,6.625,-0.938,1,1,1,685000,1,47.96,2,10
4,White,Not Hispanic or Latino,1,65-74,646.0,,9,405000.0,,,,1,1,1,,1,47.96,6,10
2,White,Not Hispanic or Latino,1,>74,177.0,47,9,485000.0,80.0,7.0,0.319,1,1,1,,1,47.96,2,10
1,White,Not Hispanic or Latino,1,65-74,250.0,36,3,505000.0,59.195,6.625,0.295,1,1,1,845000,1,47.96,2,10
1,Asian,Not Hispanic or Latino,1,65-74,148.0,46,2,555000.0,79.997,7.375,-0.091,1,1,1,695000,1,47.96,2,10
1,White,Not Hispanic or Latino,2,65-74,160.0,36,9,355000.0,60.0,6.5,0.472,1,1,1,595000,2,47.96,1,10
