activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2023,254900FBWEZ3YUPOBN33,39100,NY,36027,36027010000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,5,2,1,1,1,2,2,1,295000.0,63.183,11.55,NA,3,NA,NA,NA,NA,NA,13,NA,NA,2,1,1,2,465000,1,3,3,5,1,NA,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,1,1,6,,,,,10,,,,3769,21.09,119600,71.83,951,1725,68
2023,254900FBWEZ3YUPOBN33,39100,NY,36027,36027040001,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,5,2,1,1,1,2,2,1,455000.0,65.0,11.75,NA,3,NA,NA,NA,NA,NA,13,NA,NA,2,1,1,2,705000,1,3,3,5,1,NA,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,1,1,6,,,,,10,,,,4595,29.58,119600,87.43,1402,2048,49
2023,549300NZ2IPWRMLAYZ30,39100,NY,36027,36027010000,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,0,2,2,1,1,2,2,2,395000.0,96.5,7.125,1.054,2,17254.0,NA,6404.44,4909.44,,360,NA,NA,2,2,2,2,405000,1,1,3,5,2,NA,104,37,1,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,1,1,3,,,,,10,,,,3769,21.09,119600,71.83,951,1725,68
2023,549300NZ2IPWRMLAYZ30,39100,NY,36027,36027220901,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,2,2,1,1,2,2,2,255000.0,96.5,6.25,0.458,2,14550.29,NA,5353.81,3858.81,,360,NA,NA,2,2,2,2,265000,1,1,3,5,1,NA,79,50%-60%,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,3,,,,,10,,,,4272,63.55,119600,76.57,843,1490,0
2023,549300NZ2IPWRMLAYZ30,39100,NY,36027,36027050205,C,VA:First Lien,Single Family (1-4 Units):Manufactured,Ethnicity Not Available,Race Not Available,Female,1,2,2,3,1,1,2,2,2,275000.0,100.0,6.25,-0.653,2,8987.08,NA,6017.5,4522.5,475.0,360,NA,NA,2,2,2,2,275000,2,1,1,1,1,NA,118,50%-60%,2,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,1,1,1,,,,,10,,,,5184,21.82,119600,120.2,1655,1933,39
2023,549300NZ2IPWRMLAYZ30,39100,NY,36027,36027050104,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,1,2,1,1,1,2,2,2,455000.0,96.999,6.25,0.007,2,11714.16,NA,7828.4,6833.4,,360,NA,NA,2,2,2,2,465000,1,1,3,5,1,NA,133,42,3,10,1,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,1,,,,,10,,,,6837,26.05,119600,129.27,1908,2195,33
2023,549300NZ2IPWRMLAYZ30,39100,NY,36027,36027020005,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Joint,White,Male,1,71,2,1,1,1,2,2,2,405000.0,82.425,6.375,-0.132,2,16266.09,NA,11195.0,10200.0,,360,NA,NA,2,2,2,2,495000,1,1,3,5,1,NA,101,47,3,9,2,,,,,1,12,,,,2,2,5,,,,,5,,,,,2,2,1,1,2,2,35-44,25-34,No,No,1,1,2,,,,,10,,,,5272,20.03,119600,115.24,1455,1658,34
2023,549300NZ2IPWRMLAYZ30,39100,NY,36027,36027140302,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,1,71,2,2,1,1,2,2,2,385000.0,96.499,7.25,0.777,2,20749.55,NA,10188.37,8693.37,,360,NA,NA,2,2,2,2,395000,1,1,3,5,1,NA,140,50%-60%,3,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,2,1,2,2,25-34,35-44,No,No,1,1,3,,,,,10,,,,2876,53.93,119600,82.93,436,816,63
2023,549300NZ2IPWRMLAYZ30,39100,NY,36027,36027070201,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,5,0,2,1,1,1,2,2,2,275000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,101,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,<25,25-34,No,No,1,1,6,,,,,10,,,,2979,25.14,119600,98.62,793,1043,62
2023,549300NZ2IPWRMLAYZ30,39100,NY,36027,36027140700,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Joint,White,Joint,1,71,2,2,1,1,2,2,2,305000.0,80.0,6.75,0.43,2,17896.8,NA,8068.05,6573.05,50.0,360,NA,NA,2,2,2,2,385000,1,1,3,5,1,NA,95,50%-60%,1,9,2,,,,,1,12,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,1,3,,,,,10,,,,6761,30.71,119600,126.84,2069,2350,56
