activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2023,549300NZ2IPWRMLAYZ30,35614,NY,36085,36085014606,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,3,0,2,2,1,1,2,2,2,485000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,-5,<20%,9,9,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,3,,,,,1,,,,6288,19.86,99300,146.51,1822,2158,36
2023,549300NZ2IPWRMLAYZ30,35614,NY,36085,36085017007,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,1,1,1,2,2,2,475000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,166,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,1,1,,,,,10,,,,5526,40.52,99300,126.52,1682,1942,23
2023,549300NZ2IPWRMLAYZ30,35614,NY,36085,36085013800,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,1,1,1,2,2,2,645000.0,80.0,7.875,0.252,2,5864.99,NA,0.0,,,360,NA,NA,2,2,2,2,805000,1,1,3,5,1,NA,221,39,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,25-34,35-44,No,No,1,1,1,,,,,10,,,,6625,19.89,99300,148.61,2203,2505,55
2023,549300NZ2IPWRMLAYZ30,35614,NY,36085,36085013800,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,1,1,1,2,2,2,375000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,190,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,25-34,35-44,No,No,1,1,1,,,,,10,,,,6625,19.89,99300,148.61,2203,2505,55
2023,549300R22XCNNGVXRO22,35614,NY,36085,36085017702,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,1,1,2,2,2,775000.0,78.362,4.95,-2.774,2,6801.0,NA,0.0,,,360,NA,61,2,2,2,2,985000,1,1,3,5,1,NA,292,30%-<36%,11,11,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,35-44,35-44,No,No,1,1,6,,,,,10,,,,2353,20.06,99300,116.37,798,1062,53
2023,549300R22XCNNGVXRO22,35614,NY,36085,36085014606,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,1,1,2,2,2,395000.0,73.458,6.15,-0.983,2,5465.0,NA,0.0,,,360,NA,NA,2,2,2,2,535000,1,1,3,5,1,NA,114,30%-<36%,11,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,45-54,9999,No,NA,1,1,6,,,,,10,,,,6288,19.86,99300,146.51,1822,2158,36
2023,549300R22XCNNGVXRO22,35614,NY,36085,36085024401,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,1,1,2,2,2,635000.0,78.519,6.1,-0.988,2,6386.0,NA,0.0,,,360,NA,NA,2,2,2,2,815000,1,1,3,5,1,NA,250,20%-<30%,11,11,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,45-54,No,No,1,1,6,,,,,10,,,,5687,15.58,99300,148.86,1484,1966,36
2023,549300HG6U7GIJKDOO88,35614,NY,36085,36085009602,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,1,1,2,2,1,365000.0,60.0,6.875,NA,3,NA,NA,NA,NA,NA,60,NA,NA,2,2,1,2,605000,1,3,3,5,1,NA,NA,NA,9,9,4,,,,,5,,,,,3,4,7,,,,,8,,,,,3,4,4,5,3,4,8888,9999,NA,NA,2,1,6,,,,,10,,,,3767,32.94,99300,99.97,715,1187,61
2023,549300HG6U7GIJKDOO88,35614,NY,36085,36085015100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,1,1,2,2,1,395000.0,60.0,7.25,NA,3,NA,NA,NA,NA,NA,60,NA,NA,2,2,1,2,665000,1,3,3,5,1,NA,NA,NA,9,9,4,,,,,5,,,,,3,4,7,,,,,8,,,,,3,4,4,5,3,4,8888,9999,NA,NA,2,1,6,,,,,10,,,,5449,29.36,99300,148,1517,1903,68
2023,549300HG6U7GIJKDOO88,35614,NY,36085,36085009602,NA,Conventional:First Lien,Multifamily:Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,1,1,2,2,1,1705000.0,63.0,6.99,NA,3,NA,NA,NA,NA,NA,60,NA,NA,2,2,1,2,2705000,1,3,3,5,5-24,0,NA,NA,9,9,4,,,,,5,,,,,3,4,7,,,,,8,,,,,3,4,4,5,3,4,8888,9999,NA,NA,2,1,6,,,,,10,,,,3767,32.94,99300,99.97,715,1187,61
