activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2023,549300JOT0D4J0SZIK67,27060,NY,36109,36109001800,C,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,1,1,2,2,2,145000.0,NA,5.875,NA,2,7078.78,NA,4974.76,3954.76,,360,NA,NA,2,2,2,2,155000,2,1,1,1,1,NA,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,3,3,6,,,,,10,,,,4883,15.3,112000,80.54,1758,2494,40
2023,FT6J43S06X6CLJ0R0B48,27060,NY,36109,36109000600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,0,2,1,1,1,2,2,1,265000.0,64.939,6.5,0.494,3,NA,NA,NA,NA,NA,360,NA,60,2,2,2,2,405000,1,3,3,5,3,NA,192,<20%,9,10,2,,,,,5,,,,,2,4,22,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,6,,,,,10,,,,5415,32.13,112000,215.57,808,1312,57
2023,FT6J43S06X6CLJ0R0B48,27060,NY,36109,36109000500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,4,0,2,1,1,1,2,2,2,355000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,NA,NA,9,9,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,8888,9999,NA,NA,1,1,6,,,,,10,,,,4489,43.19,112000,103.72,868,1373,49
2023,E57ODZWZ7FF32TWEFA76,27060,NY,36109,36109000800,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,8,2,1,1,1,2,2,2,265000.0,NA,6.375,NA,2,5472.2,NA,1395.0,,,360,NA,NA,2,2,2,2,295000,1,1,3,5,1,NA,64,NA,9,9,4,,,,,5,,,,,3,4,7,,,,,8,,,,,3,4,4,5,3,4,8888,9999,NA,NA,3,3,6,,,,,10,,,,2745,36.1,112000,71.94,439,1079,0
2023,E57ODZWZ7FF32TWEFA76,27060,NY,36109,36109001800,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Joint,White,Joint,4,0,2,2,1,1,2,2,2,335000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,189,NA,9,9,1,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,45-54,45-54,No,No,1,1,3,,,,,10,,,,4883,15.3,112000,80.54,1758,2494,40
2023,E57ODZWZ7FF32TWEFA76,27060,NY,36109,36109000600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,8,2,1,1,1,2,2,2,665000.0,NA,6.0,NA,2,12126.0,NA,8184.0,6600.0,54.4,360,NA,NA,2,2,2,2,825000,1,1,3,5,1,NA,346,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,3,3,6,,,,,10,,,,5415,32.13,112000,215.57,808,1312,57
2023,213800XR2TCBQJSF1X93,27060,NY,36109,36109002000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,1,1,1,1,2,2,2,145000.0,97.0,6.5,0.678,2,4606.33,NA,727.02,727.02,,360,NA,NA,2,2,2,2,145000,1,1,3,5,1,NA,55,45,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,Yes,NA,1,1,1,,,,,10,,,,4291,17.94,112000,95.19,1151,1580,44
2023,213800XR2TCBQJSF1X93,27060,NY,36109,36109001901,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,6,1,2,1,1,2,2,2,145000.0,98.189,6.625,1.152,2,10448.16,NA,2945.66,2945.66,,360,NA,NA,2,2,2,2,155000,1,1,3,5,1,NA,55,50%-60%,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,1,1,3,,,,,10,,,,3105,15.56,112000,88.37,690,1130,49
2023,213800XR2TCBQJSF1X93,27060,NY,36109,36109000600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,1,1,1,2,2,2,665000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,345,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,25-34,25-34,No,No,1,1,1,,,,,10,,,,5415,32.13,112000,215.57,808,1312,57
2023,549300CB67L6KPJLHE19,27060,NY,36109,36109001500,C,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Hispanic or Latino,American Indian or Alaska Native,Female,3,0,2,1,1,1,2,2,2,65000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,300,NA,NA,2,2,2,2,65000,2,1,2,3,1,NA,20,>60%,1,10,1,11,,,,5,,,,,2,4,1,,,,,8,,,,,2,4,2,5,2,4,<25,9999,No,NA,2,1,6,,,,,1,,,,6321,28.51,112000,120.23,1404,2044,32
